date_,product_id,city_name,actual_demand,expected_demand,anomaly_score,anomaly_type,severity,action_recommendation
2022-07-09,421721,Bengaluru,1.0,308.95,0.3782,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-09,470636,Mumbai,127.0,345.43,0.263,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-08,127031,Bengaluru,418.0,817.72,0.387,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-08,131641,Delhi,7.0,701.91,0.598,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-08,15286,HR-NCR,677.0,305.42,0.3972,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-08,317610,Bengaluru,166.0,369.88,0.2271,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-07,131641,Delhi,107.0,668.44,0.457,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-07,131641,HR-NCR,227.0,467.58,0.244,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-07,362796,Delhi,364.0,1116.94,0.5533,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-07,425780,HR-NCR,270.0,565.38,0.3,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,11102,Bengaluru,66.0,194.58,0.2141,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,12872,Delhi,4973.0,6463.24,0.9361,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,279485,Delhi,97.0,235.35,0.1523,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,339179,Delhi,106.0,480.48,0.4087,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,339179,HR-NCR,51.0,263.0,0.2996,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,383992,Bengaluru,18.0,160.18,0.2293,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,3889,HR-NCR,338.0,1141.37,0.6738,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,38910,Bengaluru,104.0,298.0,0.2394,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,3918,HR-NCR,0.0,287.27,0.3825,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-06,544,Delhi,60.0,205.66,0.2044,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,339179,Delhi,341.0,476.87,0.1279,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,364304,Delhi,416.0,311.96,0.1538,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-05,3885,HR-NCR,303.0,558.67,0.2669,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,391306,Delhi,3533.0,6549.76,0.9416,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,423735,Mumbai,646.0,476.87,0.2569,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-05,424982,Delhi,5.0,281.86,0.379,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,425780,HR-NCR,461.0,604.64,0.1656,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,470636,HR-NCR,164.0,1432.66,0.5966,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,483357,HR-NCR,47.0,160.41,0.1711,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,485516,Delhi,37.0,159.31,0.2214,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-05,486016,Delhi,1.0,418.68,0.6721,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-04,300635,Bengaluru,29.0,180.48,0.2645,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-04,357316,HR-NCR,46.0,270.27,0.3185,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-04,424982,Delhi,57.0,278.26,0.323,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-04,428612,HR-NCR,2.0,289.75,0.3825,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-03,1,Delhi,387.0,299.29,0.1058,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,105,Bengaluru,826.0,593.37,0.3105,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,105,Delhi,3368.0,2238.88,0.8506,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,106,HR-NCR,251.0,186.16,0.1155,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,10697,Delhi,413.0,271.01,0.1792,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,10908,Delhi,265.0,215.56,0.0757,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,110767,Delhi,846.0,333.34,0.4966,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,114264,Delhi,340.0,207.37,0.157,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,117641,Delhi,935.0,541.05,0.4173,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,127083,Delhi,339.0,278.43,0.0876,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,127601,Delhi,391.0,332.52,0.0995,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,14,Delhi,591.0,328.18,0.3069,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,14624,Delhi,527.0,383.45,0.1559,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,15288,Delhi,611.0,304.06,0.3553,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,15366,Delhi,619.0,381.0,0.2948,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,159,Delhi,2805.0,1529.9,0.8027,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,15902,Delhi,373.0,248.24,0.1173,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,15907,Delhi,3394.0,1841.01,0.8506,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,160,Delhi,1533.0,923.78,0.6096,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,160704,HR-NCR,1192.0,1709.12,0.4926,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-03,168,Delhi,704.0,488.28,0.2632,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,17,Delhi,557.0,438.6,0.1741,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,171258,Delhi,531.0,429.45,0.1978,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,17489,Delhi,701.0,175.9,0.4883,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,179771,Delhi,567.0,362.26,0.2394,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,18618,Delhi,332.0,247.13,0.1047,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,19507,Delhi,666.0,175.9,0.4549,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,207832,Delhi,763.0,261.06,0.4539,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,217,Delhi,258.0,175.9,0.1481,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,23379,Bengaluru,318.0,271.01,0.123,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,23653,Delhi,1433.0,859.33,0.6406,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,23742,Delhi,366.0,271.01,0.1142,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,24178,HR-NCR,450.0,394.16,0.1184,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,24739,Delhi,361.0,207.37,0.1492,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,25268,Bengaluru,280.0,217.21,0.0755,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,266441,Delhi,255.0,185.29,0.1248,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,27153,Bengaluru,704.0,577.03,0.181,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,285131,HR-NCR,578.0,355.67,0.2549,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,286009,Delhi,662.0,427.91,0.2876,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,299078,Delhi,354.0,284.34,0.0857,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,300635,Bengaluru,113.0,208.74,0.1804,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-03,311059,Delhi,367.0,241.31,0.1184,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,311059,HR-NCR,260.0,194.61,0.0592,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,318058,Delhi,312.0,185.29,0.1358,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,329500,HR-NCR,5.0,1422.24,0.8333,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-03,32991,Delhi,284.0,207.37,0.14,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,333427,Delhi,683.0,479.25,0.2559,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,333764,Delhi,1121.0,731.3,0.4709,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,333785,HR-NCR,3883.0,3549.72,0.7017,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,350169,Delhi,364.0,225.51,0.175,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,361153,Bengaluru,309.0,175.9,0.1696,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,364304,Bengaluru,265.0,242.17,0.1299,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,372351,Delhi,409.0,175.9,0.2418,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,37261,Delhi,282.0,215.56,0.1359,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,376857,Bengaluru,220.0,185.29,0.1245,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,380157,Delhi,701.0,479.02,0.2701,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,389684,HR-NCR,321.0,215.56,0.1396,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,389691,Bengaluru,257.0,208.24,0.0955,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,389692,Delhi,235.0,175.9,0.1298,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,391607,Delhi,117.0,239.56,0.1669,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-03,3924,Delhi,569.0,461.32,0.2156,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,415627,Bengaluru,266.0,208.97,0.0613,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,415931,Delhi,193.0,175.9,0.145,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,428612,HR-NCR,1.0,348.44,0.4274,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-03,429458,Bengaluru,369.0,175.9,0.2142,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,429717,Delhi,372.0,215.56,0.1693,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,437475,Delhi,238.0,175.9,0.0977,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,446707,Bengaluru,1249.0,1017.33,0.402,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,458321,Delhi,439.0,315.56,0.1684,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,481504,Delhi,842.0,525.34,0.3718,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,50,Delhi,1517.0,884.9,0.6713,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-03,63628,HR-NCR,267.0,193.74,0.0857,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,105,Delhi,2939.0,2436.55,0.7248,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,11170,Delhi,356.0,195.09,0.1624,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,154617,Delhi,332.0,211.56,0.1008,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,159,Delhi,2308.0,1571.2,0.7323,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,160,Delhi,1294.0,917.77,0.442,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,179771,Delhi,462.0,360.53,0.1499,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,179771,HR-NCR,211.0,175.88,0.0918,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,18546,Mumbai,313.0,267.6,0.0709,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,18555,Delhi,280.0,175.88,0.1128,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,285131,Delhi,510.0,414.25,0.1175,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,285131,HR-NCR,431.0,312.28,0.0986,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,365339,Bengaluru,1.0,666.08,0.5923,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-02,365534,Delhi,712.0,296.27,0.3988,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,366492,Delhi,1.0,276.07,0.3736,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-02,367837,Bengaluru,6.0,192.12,0.2895,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-02,383480,Delhi,1773.0,1348.38,0.5716,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,403799,Mumbai,269.0,192.12,0.1139,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,421687,Delhi,264.0,257.63,0.0055,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,421687,HR-NCR,268.0,266.44,0.0048,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,422948,Delhi,806.0,342.97,0.4563,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,445396,HR-NCR,778.0,655.53,0.2123,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,467648,Delhi,275.0,175.88,0.0963,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,468137,Bengaluru,197.0,175.88,0.0271,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,470636,Bengaluru,71.0,892.65,0.6193,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-02,48058,Delhi,378.0,280.8,0.1393,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,483705,Delhi,25.0,215.74,0.2898,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-02,483705,HR-NCR,8.0,175.88,0.3172,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-02,82224,Delhi,246.0,192.12,0.1223,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-02,86,Delhi,443.0,346.52,0.1479,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,1,Delhi,312.0,261.85,0.1306,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,103115,Delhi,1368.0,811.31,0.5769,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,105,Delhi,2792.0,2156.62,0.7344,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,10530,Delhi,284.0,174.14,0.2024,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,106,Delhi,442.0,347.4,0.1387,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,108301,Delhi,349.0,311.73,0.1192,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,109135,Delhi,211.0,159.31,0.1116,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,110767,Delhi,679.0,298.6,0.472,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,11170,Delhi,314.0,159.31,0.2476,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,11214,Delhi,493.0,291.1,0.2506,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,11237,Delhi,394.0,159.31,0.324,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,116824,Bengaluru,12.0,159.31,0.2373,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-01,117641,HR-NCR,326.0,185.51,0.1398,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,122263,Delhi,516.0,234.11,0.2993,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,13980,Delhi,72.0,159.31,0.1279,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-01,14,Delhi,389.0,277.33,0.1382,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,15288,Delhi,537.0,228.27,0.3879,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,154617,Delhi,267.0,185.01,0.1272,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,159,Delhi,1980.0,1236.65,0.7038,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,15902,Delhi,277.0,214.97,0.1087,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,15907,Delhi,2370.0,1729.01,0.7305,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,160,Delhi,1088.0,827.98,0.3899,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,174727,Delhi,459.0,337.91,0.1021,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,18555,Delhi,226.0,159.31,0.1761,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,18585,Delhi,966.0,416.37,0.5469,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,18851,Delhi,703.0,580.33,0.1781,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,19251,Delhi,350.0,170.2,0.2428,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,19507,Delhi,370.0,165.7,0.2057,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,207832,Delhi,587.0,232.3,0.4102,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,233518,Delhi,106.0,233.01,0.113,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-01,23379,HR-NCR,158.0,281.28,0.1541,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-01,23653,Delhi,1187.0,964.5,0.4008,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,23653,HR-NCR,533.0,273.54,0.3249,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,238044,Bengaluru,228.0,180.48,0.0979,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,240092,Delhi,1343.0,684.83,0.5702,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,240092,HR-NCR,573.0,321.13,0.3083,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,24739,Delhi,287.0,183.36,0.2033,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,25268,Delhi,236.0,182.49,0.1319,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,253317,Delhi,1279.0,895.72,0.4421,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,281869,Delhi,360.0,159.31,0.2891,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,285131,Delhi,373.0,367.58,0.0301,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,285131,HR-NCR,358.0,277.0,0.0985,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,286009,Delhi,507.0,381.27,0.1779,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,293867,Delhi,84.0,200.05,0.1131,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-01,299078,Delhi,288.0,247.51,0.1381,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,311059,Delhi,269.0,196.2,0.1449,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,311059,HR-NCR,184.0,170.2,0.1228,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,311059,Mumbai,175.0,170.2,0.1313,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,313420,Delhi,8.0,235.35,0.3244,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-01,318,Delhi,489.0,159.31,0.361,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,320667,Bengaluru,10.0,170.2,0.2811,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-01,32553,Bengaluru,462.0,310.86,0.1589,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,333324,Delhi,1337.0,907.03,0.5348,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,333324,HR-NCR,427.0,269.68,0.2457,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,335816,Bengaluru,339.0,170.2,0.2362,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-01,34353,HR-NCR,383.0,306.91,0.1388,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
