date_,day_of_week,month,quarter,year,is_weekend,is_holiday,holiday_name,season
2022-06-05,6,6,2,2022,1,0,None,Monsoon
2022-06-06,0,6,2,2022,0,0,None,Monsoon
2022-06-07,1,6,2,2022,0,0,None,Monsoon
2022-06-08,2,6,2,2022,0,0,None,Monsoon
2022-06-09,3,6,2,2022,0,0,None,Monsoon
2022-06-10,4,6,2,2022,0,0,None,Monsoon
2022-06-11,5,6,2,2022,1,0,None,Monsoon
2022-06-12,6,6,2,2022,1,0,None,Monsoon
2022-06-13,0,6,2,2022,0,0,None,Monsoon
2022-06-14,1,6,2,2022,0,1,Sant Kabir's Jayanti,Monsoon
2022-06-15,2,6,2,2022,0,0,None,Monsoon
2022-06-16,3,6,2,2022,0,0,None,Monsoon
2022-06-17,4,6,2,2022,0,0,None,Monsoon
2022-06-18,5,6,2,2022,1,0,None,Monsoon
2022-06-19,6,6,2,2022,1,0,None,Monsoon
2022-06-20,0,6,2,2022,0,0,None,Monsoon
2022-06-21,1,6,2,2022,0,0,None,Monsoon
2022-06-22,2,6,2,2022,0,0,None,Monsoon
2022-06-23,3,6,2,2022,0,0,None,Monsoon
2022-06-24,4,6,2,2022,0,0,None,Monsoon
2022-06-25,5,6,2,2022,1,0,None,Monsoon
2022-06-26,6,6,2,2022,1,0,None,Monsoon
2022-06-27,0,6,2,2022,0,0,None,Monsoon
2022-06-28,1,6,2,2022,0,0,None,Monsoon
2022-06-29,2,6,2,2022,0,0,None,Monsoon
2022-06-30,3,6,2,2022,0,0,None,Monsoon
2022-07-01,4,7,3,2022,0,1,Rath Yatra,Monsoon
2022-07-02,5,7,3,2022,1,0,None,Monsoon
2022-07-03,6,7,3,2022,1,0,None,Monsoon
2022-07-04,0,7,3,2022,0,0,None,Monsoon
2022-07-05,1,7,3,2022,0,0,None,Monsoon
2022-07-06,2,7,3,2022,0,0,None,Monsoon
2022-07-07,3,7,3,2022,0,0,None,Monsoon
2022-07-08,4,7,3,2022,0,0,None,Monsoon
2022-07-09,5,7,3,2022,1,0,None,Monsoon
2022-07-10,6,7,3,2022,1,1,Id-ul-Zuha (Bakrid),Monsoon
