date_,project_city,market_name,commodity_name,commodity_category,price_inr,price_usd,unit,price_type,price_flag,source
2022-07-15,Bengaluru,Bengaluru,Tea (black),miscellaneous food,395.32,4.96,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Tomatoes,vegetables and fruits,15.59,0.2,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Tomatoes,vegetables and fruits,65.9,0.85,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Tomatoes,vegetables and fruits,57.77,0.74,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Tomatoes,vegetables and fruits,17.74,0.22,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Wheat,cereals and tubers,35.93,0.47,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Wheat,cereals and tubers,36.55,0.47,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Wheat,cereals and tubers,34.97,0.45,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Wheat,cereals and tubers,36.48,0.46,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Wheat flour,cereals and tubers,38.48,0.5,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Wheat flour,cereals and tubers,39.58,0.51,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Wheat flour,cereals and tubers,41.23,0.53,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Wheat flour,cereals and tubers,42.26,0.53,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Ghee (vanaspati),oil and fats,185.73,2.43,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Ghee (vanaspati),oil and fats,190.58,2.45,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Ghee (vanaspati),oil and fats,188.93,2.42,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Ghee (vanaspati),oil and fats,175.84,2.2,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Lentils,pulses and nuts,102.67,1.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Lentils,pulses and nuts,102.97,1.33,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Lentils,pulses and nuts,105.37,1.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Lentils,pulses and nuts,103.29,1.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Lentils (masur),pulses and nuts,93.63,1.23,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Lentils (masur),pulses and nuts,96.87,1.25,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Lentils (masur),pulses and nuts,95.63,1.22,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Lentils (masur),pulses and nuts,92.06,1.15,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Lentils (moong),pulses and nuts,103.1,1.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Lentils (moong),pulses and nuts,105.03,1.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Lentils (moong),pulses and nuts,99.9,1.28,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Lentils (moong),pulses and nuts,99.61,1.25,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Lentils (urad),pulses and nuts,109.5,1.43,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Lentils (urad),pulses and nuts,114.58,1.47,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Lentils (urad),pulses and nuts,118.73,1.52,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Lentils (urad),pulses and nuts,115.84,1.45,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Milk (pasteurized),milk and dairy,50.0,0.66,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Milk (pasteurized),milk and dairy,50.0,0.64,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Milk (pasteurized),milk and dairy,50.0,0.64,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Milk (pasteurized),milk and dairy,50.0,0.63,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Oil (groundnut),oil and fats,205.6,2.69,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Oil (groundnut),oil and fats,215.61,2.78,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Oil (groundnut),oil and fats,208.27,2.67,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Oil (groundnut),oil and fats,205.87,2.58,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Oil (mustard),oil and fats,195.63,2.56,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Oil (mustard),oil and fats,197.77,2.55,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Oil (mustard),oil and fats,184.33,2.36,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Oil (mustard),oil and fats,182.26,2.29,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Oil (palm),oil and fats,167.33,2.19,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Oil (palm),oil and fats,175.0,2.25,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Oil (palm),oil and fats,162.57,2.08,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Oil (palm),oil and fats,145.13,1.82,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Oil (soybean),oil and fats,184.23,2.41,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Oil (soybean),oil and fats,196.03,2.52,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Oil (soybean),oil and fats,181.67,2.32,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Oil (soybean),oil and fats,162.45,2.04,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Oil (sunflower),oil and fats,198.97,2.61,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Oil (sunflower),oil and fats,215.94,2.78,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Oil (sunflower),oil and fats,218.47,2.8,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Oil (sunflower),oil and fats,208.58,2.62,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Onions,vegetables and fruits,27.93,0.37,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Onions,vegetables and fruits,24.65,0.32,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Onions,vegetables and fruits,26.37,0.34,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Onions,vegetables and fruits,27.87,0.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Potatoes,cereals and tubers,17.2,0.23,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Potatoes,cereals and tubers,19.74,0.25,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Potatoes,cereals and tubers,23.8,0.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Potatoes,cereals and tubers,26.77,0.34,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Rice,cereals and tubers,31.67,0.42,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Rice,cereals and tubers,32.0,0.41,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Rice,cereals and tubers,32.1,0.41,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Rice,cereals and tubers,32.32,0.41,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Salt (iodised),miscellaneous food,22.83,0.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Salt (iodised),miscellaneous food,23.52,0.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Salt (iodised),miscellaneous food,24.0,0.31,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Salt (iodised),miscellaneous food,24.0,0.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Sugar,miscellaneous food,41.03,0.54,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Sugar,miscellaneous food,40.48,0.52,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Sugar,miscellaneous food,40.13,0.51,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Sugar,miscellaneous food,41.13,0.52,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Sugar (jaggery/gur),miscellaneous food,51.17,0.67,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Sugar (jaggery/gur),miscellaneous food,52.94,0.68,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Sugar (jaggery/gur),miscellaneous food,53.43,0.68,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Sugar (jaggery/gur),miscellaneous food,57.13,0.72,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Tea (black),miscellaneous food,224.57,2.94,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Tea (black),miscellaneous food,225.39,2.9,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Tea (black),miscellaneous food,226.37,2.9,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Tea (black),miscellaneous food,231.94,2.91,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Tomatoes,vegetables and fruits,29.43,0.39,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Tomatoes,vegetables and fruits,32.87,0.42,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Tomatoes,vegetables and fruits,46.87,0.6,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Tomatoes,vegetables and fruits,41.77,0.52,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Wheat,cereals and tubers,25.0,0.33,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Wheat,cereals and tubers,25.0,0.32,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Wheat,cereals and tubers,22.86,0.29,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Wheat,cereals and tubers,24.0,0.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Delhi,Delhi,Wheat flour,cereals and tubers,26.3,0.34,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Delhi,Delhi,Wheat flour,cereals and tubers,27.13,0.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Delhi,Delhi,Wheat flour,cereals and tubers,27.6,0.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Delhi,Delhi,Wheat flour,cereals and tubers,28.13,0.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,HR-NCR,Gurgaon,Ghee (vanaspati),oil and fats,140.0,1.83,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,HR-NCR,Gurgaon,Ghee (vanaspati),oil and fats,142.67,1.84,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,HR-NCR,Gurgaon,Ghee (vanaspati),oil and fats,143.0,1.83,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,HR-NCR,Gurgaon,Ghee (vanaspati),oil and fats,143.0,1.79,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,HR-NCR,Gurgaon,Lentils,pulses and nuts,101.0,1.32,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,HR-NCR,Gurgaon,Lentils,pulses and nuts,101.89,1.31,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,HR-NCR,Gurgaon,Lentils,pulses and nuts,102.0,1.31,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,HR-NCR,Gurgaon,Lentils,pulses and nuts,102.0,1.28,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,HR-NCR,Gurgaon,Lentils (masur),pulses and nuts,89.0,1.17,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,HR-NCR,Gurgaon,Lentils (masur),pulses and nuts,89.89,1.16,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,HR-NCR,Gurgaon,Lentils (masur),pulses and nuts,90.0,1.15,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,HR-NCR,Gurgaon,Lentils (masur),pulses and nuts,90.0,1.13,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,HR-NCR,Gurgaon,Lentils (moong),pulses and nuts,93.0,1.22,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,HR-NCR,Gurgaon,Lentils (moong),pulses and nuts,94.79,1.22,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,HR-NCR,Gurgaon,Lentils (moong),pulses and nuts,95.0,1.22,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,HR-NCR,Gurgaon,Lentils (moong),pulses and nuts,95.0,1.19,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,HR-NCR,Gurgaon,Lentils (urad),pulses and nuts,89.0,1.17,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,HR-NCR,Gurgaon,Lentils (urad),pulses and nuts,89.89,1.16,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,HR-NCR,Gurgaon,Lentils (urad),pulses and nuts,90.0,1.15,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,HR-NCR,Gurgaon,Lentils (urad),pulses and nuts,90.0,1.13,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,HR-NCR,Gurgaon,Milk (pasteurized),milk and dairy,56.0,0.73,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,HR-NCR,Gurgaon,Milk (pasteurized),milk and dairy,56.0,0.72,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,HR-NCR,Gurgaon,Milk (pasteurized),milk and dairy,56.0,0.72,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,HR-NCR,Gurgaon,Milk (pasteurized),milk and dairy,56.0,0.7,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,HR-NCR,Gurgaon,Oil (groundnut),oil and fats,176.0,2.31,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
