product_id,city_name,missing_count,median_lp_prod_city,valid_samples_prod_city,median_lp_prod,valid_samples_prod,recovery_tier,recovered_landing_price
481681,Bengaluru,12,55.46,846,55.460003,3780,Tier_1_Product_City_Median,55.46
477385,Bengaluru,1,25.63169,525,27.003036,2078,Tier_1_Product_City_Median,25.63169
482200,Delhi,3,210.0,317,210.0,534,Tier_1_Product_City_Median,210.0
446160,Delhi,3,85.78887,18,85.55001,46,Tier_1_Product_City_Median,85.78887
400605,Delhi,1,160.60977,4,160.60977,5,Tier_1_Product_City_Median,160.60977
477222,Delhi,1,191.49974,22,191.497,47,Tier_1_Product_City_Median,191.49974
445686,HR-NCR,1,40.005,25,40.005,30,Tier_1_Product_City_Median,40.005
440240,Delhi,2,91.0038145,6,91.003685,17,Tier_1_Product_City_Median,91.0038145
428980,Delhi,1,170.1089,12,170.1089,32,Tier_1_Product_City_Median,170.1089
428917,Delhi,1,35.0,18,35.0,27,Tier_1_Product_City_Median,35.0
440091,Delhi,1,176.00101,4,176.00102,12,Tier_1_Product_City_Median,176.00101
428871,HR-NCR,2,84.3257,9,82.297485,32,Tier_1_Product_City_Median,84.3257
346041,Bengaluru,1,116.51138,3,154.47533,56,Tier_1_Product_City_Median,116.51138
486034,Mumbai,1,97.751992,7,97.751992,19,Tier_1_Product_City_Median,97.751992
440092,Delhi,1,120.00474,7,120.004524,24,Tier_1_Product_City_Median,120.00474
481542,Bengaluru,4,37.5,2648,37.5,2648,Tier_1_Product_City_Median,37.5
480666,Delhi,1,149.251,113,149.251,183,Tier_1_Product_City_Median,149.251
481025,Delhi,4,87.96299,691,87.96299,2175,Tier_1_Product_City_Median,87.96299
482793,Delhi,2,96.74801,2152,96.749214,3353,Tier_1_Product_City_Median,96.74801
445700,HR-NCR,3,7.999982,87,7.999998,236,Tier_1_Product_City_Median,7.999982
481656,Delhi,1,89.42039,480,89.420006,652,Tier_1_Product_City_Median,89.42039
488060,Mumbai,26,210.0,58,210.0,553,Tier_1_Product_City_Median,210.0
146296,Mumbai,1,38.998,44,38.998,159,Tier_1_Product_City_Median,38.998
42154,Mumbai,5,148.68,80,171.50946,3407,Tier_1_Product_City_Median,148.68
488062,Delhi,13,349.997,106,349.997,179,Tier_1_Product_City_Median,349.997
458658,Delhi,1,98.504,15,98.503995,18,Tier_1_Product_City_Median,98.504
481726,HR-NCR,1,97.943665,26,97.999,83,Tier_1_Product_City_Median,97.943665
440210,Delhi,3,40.3206,19,40.3206,26,Tier_1_Product_City_Median,40.3206
388037,Mumbai,1,155.01611,3,155.01611,3,Tier_1_Product_City_Median,155.01611
349725,Bengaluru,7,42.25,68,42.25,68,Tier_1_Product_City_Median,42.25
467344,Delhi,1,134.249,109,134.249,495,Tier_1_Product_City_Median,134.249
474820,Delhi,3,0.000556,35,0.0,92,Tier_1_Product_City_Median,0.000556
11008,Bengaluru,2,313.722,238,313.722,238,Tier_1_Product_City_Median,313.722
488063,Mumbai,36,349.995,28,349.9969,307,Tier_1_Product_City_Median,349.995
27072,Mumbai,2,14.891709,8,14.891709,8,Tier_1_Product_City_Median,14.891709
438460,Mumbai,2,132.458,12,132.458,12,Tier_1_Product_City_Median,132.458
393218,Mumbai,2,92.10502,30,92.10503,62,Tier_1_Product_City_Median,92.10502
16813,Delhi,2,187.502,26,187.502,75,Tier_1_Product_City_Median,187.502
346037,Mumbai,1,136.33246,3,94.40001,23,Tier_1_Product_City_Median,136.33246
382812,Mumbai,1,619.50668,2,559.31872,8,Tier_1_Product_City_Median,619.50668
429376,Mumbai,1,499.0,2,241.11667,27,Tier_1_Product_City_Median,499.0
481582,Delhi,1,24.0,991,24.0,1610,Tier_1_Product_City_Median,24.0
972,Bengaluru,4,94.41201,311,94.41201,450,Tier_1_Product_City_Median,94.41201
480703,Bengaluru,2,229.947,83,229.947,208,Tier_1_Product_City_Median,229.947
364788,Delhi,1,161.249,131,161.249,308,Tier_1_Product_City_Median,161.249
480588,Delhi,4,30.4,156,32.8,266,Tier_1_Product_City_Median,30.4
483596,Delhi,1,80.24,159,80.24,516,Tier_1_Product_City_Median,80.24
486125,Mumbai,2982,68.807,2281,68.807,2807,Tier_1_Product_City_Median,68.807
481677,Bengaluru,1,42.48,69,42.48,106,Tier_1_Product_City_Median,42.48
388377,Delhi,2,16.35881,323,16.35881,655,Tier_1_Product_City_Median,16.35881
481659,HR-NCR,6,100.3,696,100.30001,1418,Tier_1_Product_City_Median,100.3
481643,HR-NCR,4,139.810982,20,139.99692,107,Tier_1_Product_City_Median,139.810982
481662,Delhi,1,91.00199,118,91.00199,185,Tier_1_Product_City_Median,91.00199
241163,Bengaluru,1,327.2546,225,327.25,753,Tier_1_Product_City_Median,327.2546
428944,Delhi,2,259.6,3,346.76135,13,Tier_1_Product_City_Median,259.6
33901,Bengaluru,1,80.57334,196,80.57334,196,Tier_1_Product_City_Median,80.57334
42212,Delhi,1,248.147,59,248.16599,155,Tier_1_Product_City_Median,248.147
478908,Delhi,1881,0.001,12,0.001,12,Tier_1_Product_City_Median,0.001
425596,Mumbai,1,112.75394,7,112.75394,12,Tier_1_Product_City_Median,112.75394
24626,HR-NCR,1,79.450554,16,79.450554,50,Tier_1_Product_City_Median,79.450554
378358,Bengaluru,2,197.6052,59,197.6052,59,Tier_1_Product_City_Median,197.6052
462668,Bengaluru,2,30.262,31,30.262001,99,Tier_1_Product_City_Median,30.262
400574,HR-NCR,1,98.56,21,98.56,49,Tier_1_Product_City_Median,98.56
96562,Delhi,1,52.0,16,52.001995,62,Tier_1_Product_City_Median,52.0
405901,Mumbai,1,635.01013,1,635.01013,1,Tier_1_Product_City_Median,635.01013
482150,HR-NCR,2,839.9712,12,839.9712,12,Tier_1_Product_City_Median,839.9712
450373,Delhi,1,179.99718,7,179.9972,36,Tier_1_Product_City_Median,179.99718
392680,Delhi,1,92.211075,5,92.21272,21,Tier_1_Product_City_Median,92.211075
396055,HR-NCR,1,126.0,4,126.0,7,Tier_1_Product_City_Median,126.0
439238,Delhi,2,77.99697,3,77.99697,3,Tier_1_Product_City_Median,77.99697
427386,HR-NCR,1,55.470604,1,55.470604,15,Tier_1_Product_City_Median,55.470604
19060,Delhi,7,22.5,1836,22.5,2613,Tier_1_Product_City_Median,22.5
415766,Bengaluru,3,299.991,455,293.61554,1998,Tier_1_Product_City_Median,299.991
465892,Delhi,1,52.5,1181,52.5,2424,Tier_1_Product_City_Median,52.5
381989,Bengaluru,1,16.8,288,16.8,617,Tier_1_Product_City_Median,16.8
432244,Delhi,1,64.10931,67,64.10931,74,Tier_1_Product_City_Median,64.10931
481733,Bengaluru,3,101.397,173,101.397,404,Tier_1_Product_City_Median,101.397
443559,Delhi,4,414.003,29,414.003,51,Tier_1_Product_City_Median,414.003
435885,Delhi,9,127.501,470,127.501,697,Tier_1_Product_City_Median,127.501
479285,HR-NCR,2,304.00018,251,304.00018,1177,Tier_1_Product_City_Median,304.00018
395496,Mumbai,1,108.24647,6,108.24647,6,Tier_1_Product_City_Median,108.24647
482505,Mumbai,1,81.999534,132,129.01922,293,Tier_1_Product_City_Median,81.999534
480665,HR-NCR,1,153.37850500000002,50,149.251,309,Tier_1_Product_City_Median,153.37850500000002
480943,Bengaluru,1,124.996994,113,124.997,295,Tier_1_Product_City_Median,124.996994
488058,Delhi,28,349.997,104,349.99695,170,Tier_1_Product_City_Median,349.997
56820,HR-NCR,5,56.248,151,56.249523,1355,Tier_1_Product_City_Median,56.248
34034,Delhi,3,180.4151,63,180.4151,126,Tier_1_Product_City_Median,180.4151
422937,Delhi,3,44.25,175,44.2515565,648,Tier_1_Product_City_Median,44.25
428976,HR-NCR,1,198.40587,12,198.40585,35,Tier_1_Product_City_Median,198.40587
476687,Delhi,1,209.403,37,209.40302,131,Tier_1_Product_City_Median,209.403
372142,Bengaluru,1,32.995,128,32.995647,517,Tier_1_Product_City_Median,32.995
437522,Bengaluru,1,587.923,4,587.923,4,Tier_1_Product_City_Median,587.923
403579,Delhi,1,109.2453,53,109.24456,154,Tier_1_Product_City_Median,109.2453
440248,Delhi,1,124.00498,18,124.00498,34,Tier_1_Product_City_Median,124.00498
443172,Delhi,1,342.62503,27,342.62503,48,Tier_1_Product_City_Median,342.62503
477201,Bengaluru,1,303.26,48,303.26,214,Tier_1_Product_City_Median,303.26
372081,Delhi,2,97.681915,12,98.00098,31,Tier_1_Product_City_Median,97.681915
405946,Delhi,1,76.51999749999999,2,75.386665,5,Tier_1_Product_City_Median,76.51999749999999
428987,Delhi,2,59.998318,13,59.998318,13,Tier_1_Product_City_Median,59.998318
376282,Mumbai,1,26.376001,22,26.376001,28,Tier_1_Product_City_Median,26.376001
481661,Delhi,1,91.00199,128,91.00199,191,Tier_1_Product_City_Median,91.00199
446662,Delhi,1,341.8343,13,341.8343,24,Tier_1_Product_City_Median,341.8343
429439,HR-NCR,2,69.305115,8,69.304504,27,Tier_1_Product_City_Median,69.305115
94,Delhi,1,64.257935,12,64.257935,20,Tier_1_Product_City_Median,64.257935
412485,Mumbai,2,35.400043,15,35.400043,15,Tier_1_Product_City_Median,35.400043
448916,Delhi,1,29.995598,9,29.9956,47,Tier_1_Product_City_Median,29.995598
69381,Delhi,2,52.026787,9,52.026787,15,Tier_1_Product_City_Median,52.026787
446661,Delhi,2,342.7122,6,342.65348,18,Tier_1_Product_City_Median,342.7122
369874,Delhi,1,87.615,5,87.615,16,Tier_1_Product_City_Median,87.615
422724,Delhi,1,191.77086,4,191.8122,7,Tier_1_Product_City_Median,191.77086
445386,Delhi,2,39.648,5,39.648,9,Tier_1_Product_City_Median,39.648
438863,Delhi,2,263.23132,2,263.23132,4,Tier_1_Product_City_Median,263.23132
11417,Delhi,1,602.02124,766,602.02203,1669,Tier_1_Product_City_Median,602.02124
19397,Bengaluru,1,86.95497,575,85.10244750000001,2422,Tier_1_Product_City_Median,86.95497
479694,Delhi,1,97.999,162,97.999,302,Tier_1_Product_City_Median,97.999
33891,Bengaluru,3,79.20541,312,79.20541,312,Tier_1_Product_City_Median,79.20541
480589,Delhi,2,32.0,2224,32.0,3373,Tier_1_Product_City_Median,32.0
10488,HR-NCR,4,28.506754,115,28.506754,381,Tier_1_Product_City_Median,28.506754
481716,Delhi,12,56.250996,163,56.250996,237,Tier_1_Product_City_Median,56.250996
481723,Delhi,1,97.916,102,97.916,161,Tier_1_Product_City_Median,97.916
395566,Bengaluru,5,63.134037,43,63.134037,50,Tier_1_Product_City_Median,63.134037
13396,Delhi,1,183.747,126,183.747,182,Tier_1_Product_City_Median,183.747
370321,HR-NCR,2,12.005696,94,12.005696,409,Tier_1_Product_City_Median,12.005696
482839,HR-NCR,1,87.506004,63,87.506004,170,Tier_1_Product_City_Median,87.506004
372064,Delhi,1,49.551933,13,49.55842,25,Tier_1_Product_City_Median,49.551933
445129,Delhi,3,202.99503,8,202.99503,11,Tier_1_Product_City_Median,202.99503
400211,HR-NCR,1,31.941753,10,31.94201,51,Tier_1_Product_City_Median,31.941753
108639,Bengaluru,1,60.510105,20,60.247787,49,Tier_1_Product_City_Median,60.510105
402011,HR-NCR,1,41.077965,3,41.081345,18,Tier_1_Product_City_Median,41.077965
350142,Bengaluru,1,472.0,4,472.0,5,Tier_1_Product_City_Median,472.0
194302,Bengaluru,1,966.00446,15,966.0007,127,Tier_1_Product_City_Median,966.00446
445685,Delhi,1,42.0,6,42.0,9,Tier_1_Product_City_Median,42.0
439650,Delhi,1,56.1792,2,56.1792,2,Tier_1_Product_City_Median,56.1792
480619,Delhi,5,34.999,1028,34.999,2396,Tier_1_Product_City_Median,34.999
481193,Mumbai,39,12.75,1315,12.75,1315,Tier_1_Product_City_Median,12.75
23313,Delhi,1,327.25296,922,327.25235,1958,Tier_1_Product_City_Median,327.25296
41970,Delhi,3,102.189,125,102.189,261,Tier_1_Product_City_Median,102.189
381836,Bengaluru,4,69.998,434,69.99867,754,Tier_1_Product_City_Median,69.998
37210,Bengaluru,1,81.749,35,81.74901,1306,Tier_1_Product_City_Median,81.749
481658,Delhi,2,46.751995,729,46.751995,1168,Tier_1_Product_City_Median,46.751995
36636,Delhi,5,86.94079,54,86.94079,71,Tier_1_Product_City_Median,86.94079
56820,Delhi,8,56.248,287,56.249523,1355,Tier_1_Product_City_Median,56.248
481594,Delhi,1,138.746,124,138.746,174,Tier_1_Product_City_Median,138.746
147402,Bengaluru,1,64.08599,11,67.01612,147,Tier_1_Product_City_Median,64.08599
365066,Mumbai,1,62.504993,67,62.504993,90,Tier_1_Product_City_Median,62.504993
477706,HR-NCR,1,135.088495,144,134.995972,619,Tier_1_Product_City_Median,135.088495
482791,Delhi,1,127.44,2842,127.44,4391,Tier_1_Product_City_Median,127.44
488058,HR-NCR,2,349.99695,63,349.99695,170,Tier_1_Product_City_Median,349.99695
480558,HR-NCR,1,280.002,54,280.002,151,Tier_1_Product_City_Median,280.002
482922,Delhi,3,104.30001,114,104.30001,270,Tier_1_Product_City_Median,104.30001
438150,Delhi,1,44.545002,89,44.545002,130,Tier_1_Product_City_Median,44.545002
442565,Delhi,2,213.6488,112,213.36941000000002,308,Tier_1_Product_City_Median,213.6488
479089,Mumbai,1,42.0,67,41.998528,4542,Tier_1_Product_City_Median,42.0
430960,HR-NCR,1,159.60002,36,159.60002,36,Tier_1_Product_City_Median,159.60002
407171,Bengaluru,1,64.003006,19,64.00319,129,Tier_1_Product_City_Median,64.003006
367258,Bengaluru,1,86.79337,9,86.79337,16,Tier_1_Product_City_Median,86.79337
428240,Mumbai,2,28.485987,32,27.164003,805,Tier_1_Product_City_Median,28.485987
439235,Delhi,1,150.00302,5,150.00302,5,Tier_1_Product_City_Median,150.00302
428976,Delhi,1,198.57950499999998,16,198.40585,35,Tier_1_Product_City_Median,198.57950499999998
446662,HR-NCR,1,342.23032,2,341.8343,24,Tier_1_Product_City_Median,342.23032
391627,Delhi,1,160.65001,4,160.65001,9,Tier_1_Product_City_Median,160.65001
429484,Mumbai,1,72.68106,6,72.54639,15,Tier_1_Product_City_Median,72.68106
388431,Delhi,1,104.66167,5,104.95294,10,Tier_1_Product_City_Median,104.66167
95374,Delhi,5,69.69572,351,69.6969,898,Tier_1_Product_City_Median,69.69572
445679,Mumbai,1,37.000004,128,37.005,1823,Tier_1_Product_City_Median,37.000004
4992,Bengaluru,1,126.040924,199,126.001656,1182,Tier_1_Product_City_Median,126.040924
389927,Delhi,5,262.13525,231,262.13525,331,Tier_1_Product_City_Median,262.13525
437168,Delhi,5,756.6877,233,870.66425,505,Tier_1_Product_City_Median,756.6877
346988,Bengaluru,1,17.345999,68,17.346,140,Tier_1_Product_City_Median,17.345999
483838,Delhi,1,43.5,250,43.5,347,Tier_1_Product_City_Median,43.5
477285,Delhi,2,126.00045,115,126.00214,338,Tier_1_Product_City_Median,126.00045
444947,HR-NCR,1,182.00375,76,182.00302,275,Tier_1_Product_City_Median,182.00375
428990,Delhi,2,38.9984,11,38.9984,12,Tier_1_Product_City_Median,38.9984
206596,Bengaluru,5,33.752453,98,33.749477,674,Tier_1_Product_City_Median,33.752453
373086,Delhi,1,82.396065,20,82.434906,30,Tier_1_Product_City_Median,82.396065
400577,Delhi,1,98.56,16,98.56,80,Tier_1_Product_City_Median,98.56
428871,Delhi,2,82.297485,23,82.297485,32,Tier_1_Product_City_Median,82.297485
446888,Mumbai,15,42.325,89,39.379,7239,Tier_1_Product_City_Median,42.325
481983,Mumbai,1,84.65,2,78.566734,1325,Tier_1_Product_City_Median,84.65
260894,Delhi,1,87.93827,43,88.04292,87,Tier_1_Product_City_Median,87.93827
392414,Mumbai,1,639.1254,15,624.1672,56,Tier_1_Product_City_Median,639.1254
151559,Bengaluru,1,209.29701,41,209.29701,220,Tier_1_Product_City_Median,209.29701
368637,Delhi,1,257.405,7,257.405,12,Tier_1_Product_City_Median,257.405
445686,Delhi,1,40.005,5,40.005,30,Tier_1_Product_City_Median,40.005
425061,Mumbai,1,151.62,8,149.251,25,Tier_1_Product_City_Median,151.62
428917,HR-NCR,2,35.0,9,35.0,27,Tier_1_Product_City_Median,35.0
402866,Delhi,1,62.306202,5,62.1694375,8,Tier_1_Product_City_Median,62.306202
430981,Delhi,1,225.995785,4,226.00197,5,Tier_1_Product_City_Median,225.995785
487690,HR-NCR,4,149.8364,6,149.8364,6,Tier_1_Product_City_Median,149.8364
483438,Mumbai,2723,0.011,5,0.012,31,Tier_1_Product_City_Median,0.011
430982,Delhi,1,225.99629,2,225.99629,2,Tier_1_Product_City_Median,225.99629
3292,Mumbai,1,177.09602,274,177.09436,2258,Tier_1_Product_City_Median,177.09602
455294,Delhi,2,104.402,298,104.402,393,Tier_1_Product_City_Median,104.402
438258,HR-NCR,25,72.008235,578,72.006009,2425,Tier_1_Product_City_Median,72.008235
487659,Delhi,203,0.012,2443,0.012,4242,Tier_1_Product_City_Median,0.012
482727,Delhi,2,175.006,152,175.006,262,Tier_1_Product_City_Median,175.006
443577,Bengaluru,1,395.996,104,395.996,409,Tier_1_Product_City_Median,395.996
146253,Delhi,2,43.197254,209,43.197002,541,Tier_1_Product_City_Median,43.197254
456288,Delhi,1,56.155994,134,56.155994,243,Tier_1_Product_City_Median,56.155994
45642,Mumbai,1,37.60722,309,37.76,1833,Tier_1_Product_City_Median,37.60722
482731,Delhi,4,148.88904,245,209.179,407,Tier_1_Product_City_Median,148.88904
195567,Bengaluru,2,77.354,49,89.20164,287,Tier_1_Product_City_Median,77.354
482729,Bengaluru,2,162.498,48,192.505,276,Tier_1_Product_City_Median,162.498
381837,Bengaluru,1,75.001,106,75.001,170,Tier_1_Product_City_Median,75.001
481732,Bengaluru,1,67.319,162,67.319,613,Tier_1_Product_City_Median,67.319
455177,Bengaluru,1,119.99255,99,119.99512,477,Tier_1_Product_City_Median,119.99255
388296,Delhi,2,25.482353,28,25.482353,54,Tier_1_Product_City_Median,25.482353
478695,Mumbai,1,96.75059,47,96.746,404,Tier_1_Product_City_Median,96.75059
431621,Delhi,1,20.999739,16,20.999739,26,Tier_1_Product_City_Median,20.999739
439621,Delhi,1,58.0048035,14,58.004807,27,Tier_1_Product_City_Median,58.0048035
477110,Delhi,1,308.0,41,308.0,145,Tier_1_Product_City_Median,308.0
99149,Delhi,2,86.258,48,100.017,250,Tier_1_Product_City_Median,86.258
409063,Mumbai,2,299.0,6,96.43652,71,Tier_1_Product_City_Median,299.0
393216,Mumbai,3,81.09101,32,79.27927,97,Tier_1_Product_City_Median,81.09101
440218,Delhi,3,92.9384,14,92.9384,16,Tier_1_Product_City_Median,92.9384
409080,Mumbai,1,78.298515,13,78.298515,20,Tier_1_Product_City_Median,78.298515
234687,Bengaluru,1,384.999,9,384.999,180,Tier_1_Product_City_Median,384.999
439670,HR-NCR,1,142.14586500000001,6,141.736,10,Tier_1_Product_City_Median,142.14586500000001
118892,Delhi,1,135.481,26,135.481,43,Tier_1_Product_City_Median,135.481
484421,Delhi,7,93.598,10,93.598,21,Tier_1_Product_City_Median,93.598
428981,HR-NCR,4,84.290146,18,84.290146,42,Tier_1_Product_City_Median,84.290146
443798,Delhi,1,94.65247,3,94.65247,4,Tier_1_Product_City_Median,94.65247
440213,HR-NCR,1,41.36905,7,41.4238,32,Tier_1_Product_City_Median,41.36905
467921,Delhi,1,157.5,222,157.5,299,Tier_1_Product_City_Median,157.5
481582,HR-NCR,3,24.0,619,24.0,1610,Tier_1_Product_City_Median,24.0
440016,Delhi,1,190.70749,87,205.87,213,Tier_1_Product_City_Median,190.70749
380448,Delhi,1,33.984005,3762,33.984005,8507,Tier_1_Product_City_Median,33.984005
481633,Bengaluru,4,29.996,651,29.998169,1063,Tier_1_Product_City_Median,29.996
134115,Bengaluru,3,28.499247,829,28.499247,1388,Tier_1_Product_City_Median,28.499247
483189,Bengaluru,10,82.0,886,82.0,1083,Tier_1_Product_City_Median,82.0
3542,Delhi,4,251.847,82,251.847,163,Tier_1_Product_City_Median,251.847
68738,Delhi,3,21.75,207,21.75,378,Tier_1_Product_City_Median,21.75
482198,Delhi,3,210.0,324,210.0,604,Tier_1_Product_City_Median,210.0
24626,Delhi,1,77.72016199999999,32,79.450554,50,Tier_1_Product_City_Median,77.72016199999999
13469,Bengaluru,5,31.899,605,31.898998,3659,Tier_1_Product_City_Median,31.899
438456,Delhi,1,277.501,193,277.501,428,Tier_1_Product_City_Median,277.501
481606,Mumbai,1,125.303375,400,125.303375,400,Tier_1_Product_City_Median,125.303375
375044,Delhi,1,365.22366,184,365.2252,494,Tier_1_Product_City_Median,365.22366
483595,Delhi,2,74.590774,403,74.702134,935,Tier_1_Product_City_Median,74.590774
479984,Delhi,2,126.504,253,126.504,989,Tier_1_Product_City_Median,126.504
390708,HR-NCR,7,27.827322,195,27.827322,759,Tier_1_Product_City_Median,27.827322
480896,HR-NCR,1,112.194,70,112.19399,549,Tier_1_Product_City_Median,112.194
427386,Delhi,1,55.470604,13,55.470604,15,Tier_1_Product_City_Median,55.470604
481643,Delhi,3,139.99678,34,139.99692,107,Tier_1_Product_City_Median,139.99678
362037,Delhi,1,154.16531,21,154.16531,25,Tier_1_Product_City_Median,154.16531
400576,Delhi,1,98.56,22,98.56,67,Tier_1_Product_City_Median,98.56
42212,HR-NCR,1,248.166,31,248.16599,155,Tier_1_Product_City_Median,248.166
400574,Delhi,1,98.5600025,10,98.56,49,Tier_1_Product_City_Median,98.5600025
428986,Delhi,2,59.998318,12,59.998318,13,Tier_1_Product_City_Median,59.998318
462669,Bengaluru,1,36.75837,35,36.758007,95,Tier_1_Product_City_Median,36.75837
24488,HR-NCR,1,112.22773,7,112.23501,19,Tier_1_Product_City_Median,112.22773
448350,Delhi,1,194.69999,4,194.7,5,Tier_1_Product_City_Median,194.69999
239191,Mumbai,1,77.088036,1,45.368736,35,Tier_1_Product_City_Median,77.088036
482728,Delhi,3,192.5025,116,192.505,194,Tier_1_Product_City_Median,192.5025
481670,Delhi,8,28.084,1566,28.084002,2656,Tier_1_Product_City_Median,28.084
3545,Delhi,5,283.60233500000004,200,286.0669,369,Tier_1_Product_City_Median,283.60233500000004
390701,Delhi,24,32.173935,411,32.173935,681,Tier_1_Product_City_Median,32.173935
481675,Delhi,1,63.72,1712,63.72,3349,Tier_1_Product_City_Median,63.72
482791,Bengaluru,2,127.44,240,127.44,4391,Tier_1_Product_City_Median,127.44
481733,HR-NCR,2,101.397,84,101.397,404,Tier_1_Product_City_Median,101.397
56826,Delhi,2,56.248005,256,56.248146000000006,1000,Tier_1_Product_City_Median,56.248005
481664,Delhi,5,138.74599,227,138.74599,309,Tier_1_Product_City_Median,138.74599
390037,Delhi,2,45.152237,50,48.524155,153,Tier_1_Product_City_Median,45.152237
488059,HR-NCR,4,349.996935,68,349.99695,184,Tier_1_Product_City_Median,349.996935
395564,Delhi,1,63.0,4,63.0,7,Tier_1_Product_City_Median,63.0
402896,Bengaluru,1,98.829,86,98.829,245,Tier_1_Product_City_Median,98.829
481201,Mumbai,1,41.5,53,41.499992,1989,Tier_1_Product_City_Median,41.5
442952,Delhi,1,214.99802,9,214.99803,15,Tier_1_Product_City_Median,214.99802
457469,Delhi,1,69.4995,9,69.49949,62,Tier_1_Product_City_Median,69.4995
42201,Delhi,1,45.0,22,45.0,32,Tier_1_Product_City_Median,45.0
458008,HR-NCR,1,64.8032,5,64.8031275,16,Tier_1_Product_City_Median,64.8032
146,Delhi,1,257.405,7,257.405,10,Tier_1_Product_City_Median,257.405
372067,Delhi,1,59.462807,11,59.472,17,Tier_1_Product_City_Median,59.462807
428976,Bengaluru,2,175.00584,7,198.40585,35,Tier_1_Product_City_Median,175.00584
365641,Bengaluru,1,69.37882,5,69.384,68,Tier_1_Product_City_Median,69.37882
432826,Delhi,1,82.35361,5,82.94134,18,Tier_1_Product_City_Median,82.35361
430953,Delhi,1,335.96387,20,335.7966,39,Tier_1_Product_City_Median,335.96387
416425,HR-NCR,1,185.43895,2,185.43895,84,Tier_1_Product_City_Median,185.43895
429202,Delhi,1,271.4,207,271.4,606,Tier_1_Product_City_Median,271.4
391784,Delhi,16,18.990005,701,18.978157,1136,Tier_1_Product_City_Median,18.990005
13381,Delhi,3,168.75,299,168.75,456,Tier_1_Product_City_Median,168.75
19977,Delhi,1,41.608,761,41.608,1391,Tier_1_Product_City_Median,41.608
389979,Delhi,2,52.919945,730,52.775417,3414,Tier_1_Product_City_Median,52.919945
438134,Delhi,1,42.2,533,42.072754,1129,Tier_1_Product_City_Median,42.2
481676,Delhi,4,92.04,494,92.04,1046,Tier_1_Product_City_Median,92.04
457383,Mumbai,2,281.253,42,281.25296,1017,Tier_1_Product_City_Median,281.253
480994,Mumbai,1,42.421,117,42.421,714,Tier_1_Product_City_Median,42.421
482109,HR-NCR,5,72.794,89,72.9946,2134,Tier_1_Product_City_Median,72.794
475773,Delhi,2,84.675026,362,84.67503,901,Tier_1_Product_City_Median,84.675026
15470,HR-NCR,9,17.940054,73,17.94,512,Tier_1_Product_City_Median,17.940054
481665,Delhi,5,52.494,213,52.494,304,Tier_1_Product_City_Median,52.494
429757,Delhi,1,239.51826,24,239.80893,40,Tier_1_Product_City_Median,239.51826
435972,HR-NCR,1,300.0071,11,300.0041,120,Tier_1_Product_City_Median,300.0071
428943,Mumbai,1,122.8421,11,130.52516,29,Tier_1_Product_City_Median,122.8421
136594,Delhi,2,192.505,168,192.505,329,Tier_1_Product_City_Median,192.505
479456,Delhi,4,227.002,90,227.002,211,Tier_1_Product_City_Median,227.002
52685,Delhi,1,545.71436,31,539.009,100,Tier_1_Product_City_Median,545.71436
