date_,city_name,temperature_avg,temperature_max,temperature_min,humidity,rainfall_mm,weather_condition
2022-06-02,Bengaluru,23.8,29.5,19.5,78.0,0.5,Light Rain
2022-06-03,Bengaluru,23.9,29.8,19.7,80.0,8.7,Rain / Monsoon Shower
2022-06-04,Bengaluru,24.7,31.4,19.8,76.0,9.4,Rain / Monsoon Shower
2022-06-05,Bengaluru,24.0,30.3,20.3,81.0,15.1,Rain / Monsoon Shower
2022-06-06,Bengaluru,23.6,29.1,19.9,82.0,7.4,Rain / Monsoon Shower
2022-06-07,Bengaluru,23.1,27.3,19.9,84.0,1.3,Light Rain
2022-06-08,Bengaluru,23.7,29.4,19.9,79.0,0.4,Light Rain
2022-06-09,Bengaluru,23.9,29.6,20.0,78.0,0.7,Light Rain
2022-06-10,Bengaluru,23.9,29.0,19.4,75.0,1.8,Light Rain
2022-06-11,Bengaluru,23.2,28.5,19.3,79.0,1.6,Light Rain
2022-06-12,Bengaluru,23.0,28.4,19.3,81.0,11.0,Rain / Monsoon Shower
2022-06-13,Bengaluru,23.7,28.8,19.3,77.0,0.1,Light Rain
2022-06-14,Bengaluru,23.4,29.3,19.5,81.0,11.8,Rain / Monsoon Shower
2022-06-15,Bengaluru,23.1,27.7,20.6,83.0,0.5,Light Rain
2022-06-16,Bengaluru,23.0,28.7,20.0,83.0,10.2,Rain / Monsoon Shower
2022-06-17,Bengaluru,22.8,28.2,19.5,84.0,7.7,Rain / Monsoon Shower
2022-06-18,Bengaluru,22.4,26.7,19.5,88.0,24.1,Rain / Monsoon Shower
2022-06-19,Bengaluru,22.8,27.6,20.0,85.0,3.0,Light Rain
2022-06-20,Bengaluru,23.0,28.0,19.2,82.0,1.7,Light Rain
2022-06-21,Bengaluru,22.2,27.0,19.8,85.0,7.1,Rain / Monsoon Shower
2022-06-22,Bengaluru,22.2,26.2,19.9,85.0,0.9,Light Rain
2022-06-23,Bengaluru,22.1,26.8,19.7,86.0,0.9,Light Rain
2022-06-24,Bengaluru,23.1,27.5,19.4,80.0,1.2,Light Rain
2022-06-25,Bengaluru,22.5,27.9,19.6,82.0,10.2,Rain / Monsoon Shower
2022-06-26,Bengaluru,23.2,27.2,20.2,77.0,1.0,Light Rain
2022-06-27,Bengaluru,23.1,27.9,19.7,76.0,0.5,Light Rain
2022-06-28,Bengaluru,22.9,27.4,19.5,78.0,1.0,Light Rain
2022-06-29,Bengaluru,22.6,27.7,19.9,84.0,3.0,Light Rain
2022-06-30,Bengaluru,22.4,27.7,19.5,85.0,13.3,Rain / Monsoon Shower
2022-07-01,Bengaluru,22.9,27.3,19.6,82.0,6.3,Rain / Monsoon Shower
2022-07-02,Bengaluru,23.4,28.2,19.7,79.0,3.4,Light Rain
2022-07-03,Bengaluru,22.6,28.1,20.0,83.0,4.9,Light Rain
2022-07-04,Bengaluru,21.8,25.3,20.3,85.0,1.7,Light Rain
2022-07-05,Bengaluru,21.3,24.1,19.8,89.0,10.3,Rain / Monsoon Shower
2022-07-06,Bengaluru,21.6,24.9,19.7,87.0,3.6,Light Rain
2022-07-07,Bengaluru,21.3,24.1,19.8,90.0,15.2,Rain / Monsoon Shower
2022-07-08,Bengaluru,22.1,26.2,19.6,82.0,1.4,Light Rain
2022-07-09,Bengaluru,21.0,23.7,19.5,90.0,11.4,Rain / Monsoon Shower
2022-07-10,Bengaluru,21.4,25.0,19.5,88.0,4.1,Light Rain
2022-04-01,Delhi,28.9,35.9,21.5,26.0,0.0,Hot / Sunny
2022-04-02,Delhi,28.9,37.4,19.9,24.0,0.0,Hot / Sunny
2022-04-03,Delhi,30.1,38.8,21.9,19.0,0.0,Hot / Sunny
2022-04-04,Delhi,29.1,37.9,21.8,18.0,0.0,Hot / Sunny
2022-04-05,Delhi,29.4,38.2,20.8,20.0,0.0,Hot / Sunny
2022-04-06,Delhi,30.2,38.7,20.9,19.0,0.0,Hot / Sunny
2022-04-07,Delhi,31.0,39.3,21.4,18.0,0.0,Hot / Sunny
2022-04-08,Delhi,32.1,40.8,23.0,16.0,0.0,Extreme Heatwave
2022-04-09,Delhi,32.9,41.6,22.4,16.0,0.0,Extreme Heatwave
2022-04-10,Delhi,33.3,41.0,24.2,16.0,0.0,Extreme Heatwave
2022-04-11,Delhi,32.9,41.4,24.5,18.0,0.0,Extreme Heatwave
2022-04-12,Delhi,32.3,39.8,26.0,20.0,0.0,Hot / Sunny
2022-04-13,Delhi,32.5,38.9,23.8,20.0,0.0,Hot / Sunny
2022-04-14,Delhi,31.8,39.3,25.2,18.0,0.0,Hot / Sunny
2022-04-15,Delhi,31.1,38.9,24.0,20.0,0.0,Hot / Sunny
2022-04-16,Delhi,31.7,39.5,23.1,19.0,0.0,Hot / Sunny
2022-04-17,Delhi,32.0,40.6,24.0,19.0,0.0,Extreme Heatwave
2022-04-18,Delhi,32.7,41.3,24.1,21.0,0.0,Extreme Heatwave
2022-04-19,Delhi,34.1,41.8,25.2,17.0,0.0,Extreme Heatwave
2022-04-20,Delhi,33.9,40.8,27.2,17.0,0.0,Extreme Heatwave
2022-04-21,Delhi,31.5,36.7,26.3,23.0,0.0,Hot / Sunny
2022-04-22,Delhi,30.9,38.3,22.6,28.0,0.0,Hot / Sunny
2022-04-23,Delhi,31.6,39.2,23.8,20.0,0.0,Hot / Sunny
2022-04-24,Delhi,32.1,39.7,24.3,19.0,0.0,Hot / Sunny
2022-04-25,Delhi,33.0,40.5,25.1,20.0,0.0,Extreme Heatwave
2022-04-26,Delhi,33.0,40.6,25.1,20.0,0.0,Extreme Heatwave
2022-04-27,Delhi,33.2,41.2,23.9,17.0,0.0,Extreme Heatwave
2022-04-28,Delhi,34.9,43.0,26.1,16.0,0.0,Extreme Heatwave
2022-04-29,Delhi,35.8,43.5,27.1,14.0,0.0,Extreme Heatwave
2022-04-30,Delhi,35.7,43.3,28.3,14.0,0.0,Extreme Heatwave
2022-05-01,Delhi,33.0,41.4,26.4,31.0,0.0,Extreme Heatwave
2022-05-02,Delhi,32.6,40.9,26.1,37.0,0.0,Extreme Heatwave
2022-05-03,Delhi,32.8,39.4,26.8,42.0,0.1,Light Rain
2022-05-04,Delhi,31.0,39.2,26.1,47.0,0.2,Light Rain
2022-05-05,Delhi,30.6,38.2,23.5,47.0,0.0,Hot / Sunny
2022-05-06,Delhi,32.3,39.3,25.7,33.0,0.0,Hot / Sunny
2022-05-07,Delhi,32.8,39.9,26.1,30.0,0.0,Hot / Sunny
2022-05-08,Delhi,33.0,41.2,25.5,34.0,0.0,Extreme Heatwave
2022-05-09,Delhi,33.3,40.2,27.4,44.0,0.0,Extreme Heatwave
2022-05-10,Delhi,33.4,39.7,28.2,45.0,0.0,Hot / Sunny
2022-05-11,Delhi,34.1,41.2,27.8,44.0,0.0,Extreme Heatwave
2022-05-12,Delhi,35.1,42.7,28.7,41.0,0.0,Extreme Heatwave
2022-05-13,Delhi,35.0,43.7,27.8,42.0,0.0,Extreme Heatwave
2022-05-14,Delhi,35.9,44.3,27.6,26.0,0.0,Extreme Heatwave
2022-05-15,Delhi,37.7,45.4,29.6,15.0,0.0,Extreme Heatwave
2022-05-16,Delhi,36.4,42.0,31.5,22.0,0.0,Extreme Heatwave
2022-05-17,Delhi,32.9,39.1,28.0,42.0,0.4,Light Rain
2022-05-18,Delhi,34.8,42.3,27.6,32.0,0.0,Extreme Heatwave
2022-05-19,Delhi,35.5,43.5,27.1,29.0,0.0,Extreme Heatwave
2022-05-20,Delhi,36.8,45.2,28.2,22.0,0.0,Extreme Heatwave
2022-05-21,Delhi,35.1,40.6,29.4,28.0,0.0,Extreme Heatwave
2022-05-22,Delhi,33.4,40.0,25.8,33.0,0.0,Extreme Heatwave
2022-05-23,Delhi,26.2,31.5,22.0,65.0,25.5,Rain / Monsoon Shower
2022-05-24,Delhi,26.9,33.1,21.5,64.0,0.0,Clear / Pleasant
2022-05-25,Delhi,28.1,33.3,23.1,60.0,0.0,Clear / Pleasant
2022-05-26,Delhi,29.6,35.5,23.8,54.0,0.0,Hot / Sunny
2022-05-27,Delhi,31.4,38.2,25.7,49.0,0.0,Hot / Sunny
2022-05-28,Delhi,32.9,39.7,27.0,49.0,1.2,Light Rain
2022-05-29,Delhi,33.0,40.6,26.3,48.0,0.0,Extreme Heatwave
2022-05-30,Delhi,32.8,40.7,27.6,47.0,0.2,Light Rain
2022-05-31,Delhi,32.7,39.7,25.6,40.0,0.0,Hot / Sunny
2022-06-01,Delhi,33.6,40.5,25.4,34.0,0.0,Extreme Heatwave
2022-06-02,Delhi,34.1,41.5,28.4,27.0,0.0,Extreme Heatwave
2022-06-03,Delhi,34.9,42.5,27.2,22.0,0.0,Extreme Heatwave
2022-06-04,Delhi,35.5,43.4,26.9,20.0,0.0,Extreme Heatwave
2022-06-05,Delhi,35.8,42.9,28.8,19.0,0.0,Extreme Heatwave
2022-06-06,Delhi,35.4,42.4,28.4,18.0,0.0,Extreme Heatwave
2022-06-07,Delhi,36.4,43.3,29.6,21.0,0.0,Extreme Heatwave
2022-06-08,Delhi,36.8,42.6,31.8,19.0,0.0,Extreme Heatwave
2022-06-09,Delhi,36.7,42.9,30.7,22.0,0.0,Extreme Heatwave
2022-06-10,Delhi,36.9,42.1,30.5,22.0,0.0,Extreme Heatwave
2022-06-11,Delhi,37.2,43.3,31.2,20.0,0.0,Extreme Heatwave
2022-06-12,Delhi,36.6,42.7,30.0,23.0,0.0,Extreme Heatwave
2022-06-13,Delhi,37.3,43.1,31.7,26.0,0.0,Extreme Heatwave
2022-06-14,Delhi,34.7,38.5,31.0,39.0,0.0,Hot / Sunny
2022-06-15,Delhi,35.7,41.9,29.4,40.0,0.0,Extreme Heatwave
2022-06-16,Delhi,34.2,39.0,30.6,44.0,0.7,Light Rain
2022-06-17,Delhi,29.9,36.5,23.8,64.0,11.6,Rain / Monsoon Shower
2022-06-18,Delhi,29.7,34.5,24.9,65.0,0.9,Light Rain
2022-06-19,Delhi,26.6,32.0,23.7,82.0,9.9,Rain / Monsoon Shower
2022-06-20,Delhi,27.5,32.6,22.7,73.0,0.1,Light Rain
2022-06-21,Delhi,27.9,32.1,24.3,72.0,9.3,Rain / Monsoon Shower
2022-06-22,Delhi,29.5,34.5,24.1,65.0,13.0,Rain / Monsoon Shower
2022-06-23,Delhi,31.1,36.7,26.3,52.0,0.0,Hot / Sunny
2022-06-24,Delhi,30.9,37.4,24.3,45.0,0.0,Hot / Sunny
2022-06-25,Delhi,32.5,38.3,24.9,40.0,0.0,Hot / Sunny
2022-06-26,Delhi,33.6,39.2,28.6,51.0,0.0,Hot / Sunny
2022-06-27,Delhi,34.3,38.7,30.3,54.0,0.0,Hot / Sunny
2022-06-28,Delhi,34.2,41.0,28.1,56.0,0.9,Light Rain
2022-06-29,Delhi,33.9,41.9,29.3,58.0,0.0,Extreme Heatwave
2022-06-30,Delhi,28.6,31.3,26.4,79.0,1.4,Light Rain
2022-07-01,Delhi,28.1,32.0,24.8,81.0,1.0,Light Rain
2022-07-02,Delhi,29.9,35.0,26.1,74.0,2.3,Light Rain
2022-07-03,Delhi,29.2,34.4,25.4,81.0,4.5,Light Rain
2022-07-04,Delhi,30.7,35.2,25.9,75.0,15.5,Rain / Monsoon Shower
2022-07-05,Delhi,32.0,36.4,27.0,70.0,0.2,Light Rain
2022-07-06,Delhi,30.8,35.8,28.6,75.0,4.0,Light Rain
2022-07-07,Delhi,31.5,35.5,27.4,70.0,0.5,Light Rain
2022-07-08,Delhi,32.6,36.9,29.0,63.0,0.1,Light Rain
2022-07-09,Delhi,31.0,34.1,28.6,69.0,1.2,Light Rain
2022-07-10,Delhi,29.5,33.2,27.2,77.0,7.5,Rain / Monsoon Shower
2022-04-01,HR-NCR,27.9,35.6,20.2,28.0,0.0,Hot / Sunny
2022-04-02,HR-NCR,28.0,37.0,17.9,26.0,0.0,Hot / Sunny
2022-04-03,HR-NCR,28.9,39.1,19.8,20.0,0.0,Hot / Sunny
2022-04-04,HR-NCR,28.0,37.4,19.0,20.0,0.0,Hot / Sunny
2022-04-05,HR-NCR,28.4,37.7,18.5,24.0,0.0,Hot / Sunny
2022-04-06,HR-NCR,28.9,38.3,19.0,22.0,0.0,Hot / Sunny
2022-04-07,HR-NCR,29.4,38.7,19.3,22.0,0.0,Hot / Sunny
2022-04-08,HR-NCR,31.3,40.5,20.8,18.0,0.0,Extreme Heatwave
2022-04-09,HR-NCR,32.4,41.3,23.4,17.0,0.0,Extreme Heatwave
2022-04-10,HR-NCR,31.9,40.7,24.0,17.0,0.0,Extreme Heatwave
2022-04-11,HR-NCR,32.2,41.1,22.7,19.0,0.0,Extreme Heatwave
2022-04-12,HR-NCR,31.7,39.4,23.5,20.0,0.0,Hot / Sunny
2022-04-13,HR-NCR,31.5,39.8,22.9,20.0,0.0,Hot / Sunny
2022-04-14,HR-NCR,31.4,39.1,23.8,20.0,0.0,Hot / Sunny
2022-04-15,HR-NCR,30.9,38.5,23.3,20.0,0.0,Hot / Sunny
2022-04-16,HR-NCR,30.8,39.1,22.3,20.0,0.0,Hot / Sunny
2022-04-17,HR-NCR,31.9,40.3,22.5,19.0,0.0,Extreme Heatwave
2022-04-18,HR-NCR,32.6,40.7,24.0,21.0,0.0,Extreme Heatwave
2022-04-19,HR-NCR,33.4,41.4,24.1,18.0,0.0,Extreme Heatwave
2022-04-20,HR-NCR,32.8,40.4,26.2,20.0,0.0,Extreme Heatwave
2022-04-21,HR-NCR,30.8,36.4,26.1,25.0,0.0,Hot / Sunny
2022-04-22,HR-NCR,30.3,38.0,22.7,29.0,0.0,Hot / Sunny
2022-04-23,HR-NCR,30.4,38.6,21.5,23.0,0.0,Hot / Sunny
2022-04-24,HR-NCR,30.8,39.3,22.0,21.0,0.0,Hot / Sunny
2022-04-25,HR-NCR,31.5,40.0,22.7,23.0,0.0,Extreme Heatwave
2022-04-26,HR-NCR,32.2,40.0,23.2,22.0,0.0,Extreme Heatwave
2022-04-27,HR-NCR,32.2,40.8,22.9,20.0,0.0,Extreme Heatwave
2022-04-28,HR-NCR,34.0,42.6,23.8,18.0,0.0,Extreme Heatwave
2022-04-29,HR-NCR,35.1,42.8,27.7,15.0,0.0,Extreme Heatwave
2022-04-30,HR-NCR,34.8,43.2,27.2,16.0,0.0,Extreme Heatwave
2022-05-01,HR-NCR,33.5,41.9,26.5,28.0,0.0,Extreme Heatwave
2022-05-02,HR-NCR,32.7,40.5,26.6,35.0,0.0,Extreme Heatwave
2022-05-03,HR-NCR,33.1,40.1,26.4,40.0,0.0,Extreme Heatwave
2022-05-04,HR-NCR,31.5,39.6,26.5,43.0,0.0,Hot / Sunny
2022-05-05,HR-NCR,30.7,38.0,23.5,46.0,0.0,Hot / Sunny
2022-05-06,HR-NCR,31.8,38.6,25.5,35.0,0.0,Hot / Sunny
2022-05-07,HR-NCR,32.0,39.2,24.1,31.0,0.0,Hot / Sunny
2022-05-08,HR-NCR,32.9,40.1,26.1,33.0,0.0,Extreme Heatwave
2022-05-09,HR-NCR,33.3,40.2,27.2,44.0,0.0,Extreme Heatwave
2022-05-10,HR-NCR,33.1,38.9,28.2,45.0,0.0,Hot / Sunny
2022-05-11,HR-NCR,34.0,40.6,28.0,43.0,0.0,Extreme Heatwave
2022-05-12,HR-NCR,34.9,42.0,28.8,41.0,0.0,Extreme Heatwave
2022-05-13,HR-NCR,34.7,43.4,27.6,41.0,0.0,Extreme Heatwave
2022-05-14,HR-NCR,35.8,43.4,27.3,26.0,0.0,Extreme Heatwave
2022-05-15,HR-NCR,36.8,44.8,28.6,15.0,0.0,Extreme Heatwave
2022-05-16,HR-NCR,35.8,41.8,31.6,21.0,0.0,Extreme Heatwave
2022-05-17,HR-NCR,33.3,39.3,27.1,36.0,0.0,Hot / Sunny
2022-05-18,HR-NCR,34.7,41.7,27.9,32.0,0.0,Extreme Heatwave
2022-05-19,HR-NCR,35.2,42.8,27.3,29.0,0.0,Extreme Heatwave
2022-05-20,HR-NCR,36.4,44.1,28.1,21.0,0.0,Extreme Heatwave
2022-05-21,HR-NCR,34.5,39.8,28.5,28.0,0.0,Hot / Sunny
2022-05-22,HR-NCR,33.2,39.8,25.2,32.0,0.0,Hot / Sunny
2022-05-23,HR-NCR,26.3,32.4,21.5,65.0,23.3,Rain / Monsoon Shower
2022-05-24,HR-NCR,27.1,33.5,20.9,64.0,0.0,Clear / Pleasant
2022-05-25,HR-NCR,28.3,33.7,23.0,59.0,0.0,Clear / Pleasant
2022-05-26,HR-NCR,29.9,36.3,23.6,50.0,0.0,Hot / Sunny
2022-05-27,HR-NCR,31.3,38.2,25.5,50.0,0.6,Light Rain
2022-05-28,HR-NCR,33.2,40.0,27.5,46.0,0.4,Light Rain
2022-05-29,HR-NCR,33.5,40.5,27.8,44.0,0.0,Extreme Heatwave
2022-05-30,HR-NCR,33.0,40.8,27.5,45.0,0.0,Extreme Heatwave
2022-05-31,HR-NCR,32.1,38.9,25.3,38.0,0.0,Hot / Sunny
2022-06-01,HR-NCR,33.0,40.0,24.6,35.0,0.0,Extreme Heatwave
2022-06-02,HR-NCR,33.1,40.1,26.7,31.0,0.0,Extreme Heatwave
2022-06-03,HR-NCR,33.8,41.3,26.2,26.0,0.0,Extreme Heatwave
2022-06-04,HR-NCR,34.2,42.2,25.5,24.0,0.0,Extreme Heatwave
2022-06-05,HR-NCR,34.2,42.5,26.1,23.0,0.0,Extreme Heatwave
2022-06-06,HR-NCR,34.3,41.6,27.9,20.0,0.0,Extreme Heatwave
2022-06-07,HR-NCR,35.1,42.4,29.4,24.0,0.0,Extreme Heatwave
2022-06-08,HR-NCR,35.7,42.5,30.8,21.0,0.0,Extreme Heatwave
2022-06-09,HR-NCR,35.9,41.9,30.3,24.0,0.0,Extreme Heatwave
2022-06-10,HR-NCR,36.2,41.9,29.7,24.0,0.0,Extreme Heatwave
2022-06-11,HR-NCR,37.0,42.9,30.6,21.0,0.0,Extreme Heatwave
2022-06-12,HR-NCR,36.0,42.2,29.2,25.0,0.0,Extreme Heatwave
2022-06-13,HR-NCR,36.6,42.6,31.3,29.0,0.0,Extreme Heatwave
2022-06-14,HR-NCR,34.0,37.4,30.4,42.0,0.0,Hot / Sunny
2022-06-15,HR-NCR,35.2,41.5,29.1,42.0,0.0,Extreme Heatwave
2022-06-16,HR-NCR,33.9,39.0,30.6,46.0,0.3,Light Rain
2022-06-17,HR-NCR,30.4,37.4,25.2,63.0,9.9,Rain / Monsoon Shower
2022-06-18,HR-NCR,30.1,35.2,26.7,62.0,0.4,Light Rain
2022-06-19,HR-NCR,26.1,31.3,23.4,83.0,27.6,Rain / Monsoon Shower
2022-06-20,HR-NCR,27.3,32.8,22.3,74.0,0.0,Clear / Pleasant
2022-06-21,HR-NCR,27.8,32.3,24.4,71.0,2.9,Light Rain
2022-06-22,HR-NCR,29.4,34.3,24.2,65.0,4.4,Light Rain
2022-06-23,HR-NCR,30.8,36.4,25.9,54.0,0.0,Hot / Sunny
2022-06-24,HR-NCR,30.3,37.0,23.1,50.0,0.0,Hot / Sunny
2022-06-25,HR-NCR,32.2,37.9,25.4,41.0,0.0,Hot / Sunny
2022-06-26,HR-NCR,33.5,38.8,28.5,51.0,0.0,Hot / Sunny
2022-06-27,HR-NCR,34.3,38.5,30.4,53.0,0.0,Hot / Sunny
2022-06-28,HR-NCR,34.5,40.7,27.6,54.0,0.4,Light Rain
2022-06-29,HR-NCR,34.6,41.3,29.5,53.0,0.0,Extreme Heatwave
2022-06-30,HR-NCR,28.6,33.3,26.3,80.0,7.3,Rain / Monsoon Shower
2022-07-01,HR-NCR,27.9,31.3,25.1,82.0,2.6,Light Rain
2022-07-02,HR-NCR,30.1,35.0,26.0,71.0,0.8,Light Rain
2022-07-03,HR-NCR,29.5,34.1,25.8,78.0,5.3,Rain / Monsoon Shower
2022-07-04,HR-NCR,30.4,34.8,25.8,76.0,11.9,Rain / Monsoon Shower
2022-07-05,HR-NCR,32.0,36.6,26.9,69.0,0.1,Light Rain
2022-07-06,HR-NCR,31.0,35.0,28.6,73.0,3.6,Light Rain
2022-07-07,HR-NCR,31.5,35.5,26.8,69.0,0.7,Light Rain
2022-07-08,HR-NCR,32.9,37.0,29.2,62.0,0.0,Hot / Sunny
2022-07-09,HR-NCR,31.3,34.7,28.7,67.0,1.4,Light Rain
2022-07-10,HR-NCR,29.6,33.7,27.2,75.0,7.8,Rain / Monsoon Shower
2022-04-01,Mumbai,26.7,33.0,22.1,76.0,0.0,Humid / Overcast
2022-04-02,Mumbai,27.0,31.0,23.3,79.0,0.0,Humid / Overcast
2022-04-03,Mumbai,27.2,31.6,23.0,80.0,0.0,Humid / Overcast
2022-04-04,Mumbai,27.9,32.1,25.0,81.0,0.0,Humid / Overcast
2022-04-05,Mumbai,28.2,32.2,24.7,82.0,0.0,Humid / Overcast
2022-04-06,Mumbai,28.2,32.0,24.9,81.0,0.0,Humid / Overcast
2022-04-07,Mumbai,28.5,32.6,25.2,80.0,0.0,Humid / Overcast
2022-04-08,Mumbai,28.4,33.4,24.4,80.0,0.0,Humid / Overcast
2022-04-09,Mumbai,28.6,32.1,26.0,81.0,0.0,Humid / Overcast
2022-04-10,Mumbai,28.8,32.6,26.0,74.0,0.0,Clear / Pleasant
2022-04-11,Mumbai,28.6,32.5,25.6,75.0,0.0,Humid / Overcast
2022-04-12,Mumbai,28.7,33.6,24.0,73.0,0.0,Clear / Pleasant
2022-04-13,Mumbai,29.3,34.9,24.2,69.0,0.0,Clear / Pleasant
2022-04-14,Mumbai,28.5,32.1,25.2,78.0,0.0,Humid / Overcast
2022-04-15,Mumbai,28.3,32.1,25.4,75.0,0.0,Humid / Overcast
2022-04-16,Mumbai,27.5,31.6,23.4,79.0,0.0,Humid / Overcast
2022-04-17,Mumbai,28.1,32.0,24.7,75.0,0.0,Humid / Overcast
2022-04-18,Mumbai,28.1,31.5,24.8,77.0,0.0,Humid / Overcast
2022-04-19,Mumbai,28.2,32.2,24.8,78.0,0.0,Humid / Overcast
2022-04-20,Mumbai,29.1,32.9,25.1,76.0,0.0,Humid / Overcast
2022-04-21,Mumbai,32.0,38.4,28.1,47.0,0.0,Hot / Sunny
2022-04-22,Mumbai,31.2,36.4,26.8,58.0,0.0,Hot / Sunny
2022-04-23,Mumbai,30.9,37.1,26.3,69.0,0.0,Hot / Sunny
2022-04-24,Mumbai,30.0,33.9,27.0,78.0,0.0,Humid / Overcast
